"Family","Species_number","Species_name","English_name","Clutch_size","Egg_mass","Mating_System","mass","wing","tarsus","bill","tail","Gender"
83,3308,"Aviceda cuculoides","African Baza",2,32.5,NA,NA,NA,NA,NA,186,"Unsexed"
83,3311,"Aviceda subcristata","Pacific Baza",2.5,29,2,NA,NA,NA,NA,NA,"Unsexed"
83,3315,"Chondrohierax uncinatus","Hook-billed Kite",NA,48.8,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3318,"Pernis apivorus","European Honey-buzzard",2,49,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3323,"Elanoides forficatus","Swallow-tailed Kite",2.07,36.5,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3328,"Elanus leucurus","White-tailed Kite",4.1,23.5,NA,NA,NA,NA,NA,175.2,"Unsexed"
83,3329,"Elanus scriptus","Letter-winged Kite",3.37,26,2,NA,NA,NA,NA,NA,"Unsexed"
83,3331,"Rostrhamus sociabilis","Snail Kite",2.8,32,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3335,"Ictinia mississippiensis","Mississippi Kite",2,27,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3336,"Ictinia plumbea","Plumbeous Kite",NA,27,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3337,"Milvus milvus","Red Kite",2,63,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3338,"Milvus migrans","Black Kite",2.5,56,2,NA,NA,NA,NA,NA,"Unsexed"
83,3340,"Haliastur sphenurus","Whistling Kite",2,56.5,2,715,NA,NA,NA,NA,"Unsexed"
83,3342,"Haliaeetus leucogaster","White-bellied Fish-Eagle",2,117,2,NA,NA,NA,NA,NA,"Unsexed"
83,3344,"Haliaeetus vocifer","African Fish-Eagle",1.93,120,NA,NA,NA,85,NA,NA,"Unsexed"
83,3346,"Haliaeetus leucoryphus","Pallas's Sea-Eagle",NA,117,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3347,"Haliaeetus albicilla","White-tailed Eagle",2,142,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3348,"Haliaeetus leucocephalus","Bald Eagle",2,117,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3352,"Gypohierax angolensis","Palm-nut Vulture",1,107,NA,NA,421,80,NA,199,"Unsexed"
83,3353,"Gypaetus barbatus","Lammergeier",1.5,224,2,NA,NA,NA,NA,NA,"Unsexed"
83,3354,"Neophron percnopterus","Egyptian Vulture",2,94,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3355,"Necrosyrtes monachus","Hooded Vulture",1,120,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3356,"Gyps africanus","White-backed Vulture",1,214,NA,NA,610,NA,NA,257.5,"Unsexed"
83,3359,"Gyps rueppellii","Rueppell's Griffon",1,225,NA,7570,690,106,NA,NA,"Unsexed"
83,3361,"Gyps fulvus","Eurasian Griffon",1,252,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3362,"Gyps coprotheres","Cape Griffon",1,240,NA,NA,683,NA,NA,NA,"Unsexed"
83,3363,"Aegypius monachus","Cinereous Vulture",1,243,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3364,"Torgos tracheliotus","Lappet-faced Vulture",1,238,NA,6600,NA,NA,NA,NA,"Unsexed"
83,3365,"Trigonoceps occipitalis","White-headed Vulture",NA,196,NA,4700,NA,NA,NA,NA,"Unsexed"
83,3367,"Circaetus gallicus","Short-toed Snake-Eagle",1,136,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3369,"Circaetus cinereus","Brown Snake-Eagle",1,139,NA,2048,NA,NA,NA,270,"Unsexed"
83,3372,"Terathopius ecaudatus","Bateleur",NA,168,NA,2242,NA,NA,NA,NA,"Unsexed"
83,3381,"Circus aeruginosus","Western Marsh-Harrier",4.5,40,2,NA,NA,NA,NA,NA,"Unsexed"
83,3382,"Circus ranivorus","African Marsh-Harrier",3.63,33,NA,567,NA,NA,NA,229,"Unsexed"
83,3384,"Circus approximans","Swamp Harrier",3.77,40,3,NA,NA,NA,NA,NA,"Unsexed"
83,3387,"Circus assimilis","Spotted Harrier",3.1,42,2,NA,NA,NA,NA,NA,"Unsexed"
83,3388,"Circus maurus","Black Harrier",3.47,33,NA,NA,NA,NA,NA,247.5,"Unsexed"
83,3389,"Circus cyaneus","Northern Harrier",4.5,31,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3391,"Circus macrourus","Pallid Harrier",4.5,28,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3393,"Circus pygargus","Montagu's Harrier",4.5,24,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3396,"Kaupifalco monogrammicus","Lizard Buzzard",1.95,32,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3397,"Melierax metabates","Dark Chanting-Goshawk",1,50,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3405,"Accipiter tachiro","African Goshawk",2.4,34,NA,341.7,NA,NA,NA,197.5,"Unsexed"
83,3413,"Accipiter novaehollandiae","Grey Goshawk",2.45,40.5,2,354,NA,NA,NA,NA,"Unsexed"
83,3414,"Accipiter fasciatus","Brown Goshawk",3.02,32.5,2,NA,NA,NA,NA,NA,"Unsexed"
83,3437,"Accipiter nisus","Eurasian Sparrowhawk",5,22.5,2,NA,NA,NA,NA,NA,"Unsexed"
83,3438,"Accipiter rufiventris","Rufous-chested Sparrowhawk",2.93,23,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3443,"Accipiter cooperii","Cooper's Hawk",3.8,40,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3446,"Accipiter melanoleucus","Black Goshawk",2.8,52,NA,699.3,NA,NA,NA,238.5,"Unsexed"
83,3448,"Accipiter gentilis","Northern Goshawk",3.5,67,2,NA,NA,NA,NA,NA,"Unsexed"
83,3454,"Butastur rufipennis","Grasshopper Buzzard",2,34,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3469,"Buteogallus aequinoctialis","Rufous Crab-Hawk",NA,60,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3470,"Buteogallus anthracinus","Common Black-Hawk",1.8,65,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3473,"Buteogallus meridionalis","Savanna Hawk",NA,74,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3474,"Parabuteo unicinctus","Harris's Hawk",2.84,50,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3480,"Asturina nitida","Grey-lined Hawk",NA,43.2,2,465,NA,NA,NA,NA,"Unsexed"
83,3481,"Buteo magnirostris","Roadside Hawk",NA,37,2,NA,NA,NA,NA,NA,"Unsexed"
83,3482,"Buteo lineatus","Red-shouldered Hawk",3.12,57,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3484,"Buteo platypterus","Broad-winged Hawk",2.39,42,2,NA,NA,NA,NA,NA,"Unsexed"
83,3488,"Buteo swainsoni","Swainson's Hawk",2.44,61,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3495,"Buteo jamaicensis","Red-tailed Hawk",2.24,64,2,NA,NA,NA,NA,NA,"Unsexed"
83,3497,"Buteo buteo","Common Buzzard",3,60,2,NA,NA,NA,NA,NA,"Unsexed"
83,3500,"Buteo rufinus","Long-legged Buzzard",3.5,73,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3502,"Buteo regalis","Ferruginous Hawk",3.75,80,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3503,"Buteo lagopus","Rough-legged Hawk",3.5,60,2,NA,NA,NA,NA,NA,"Unsexed"
83,3505,"Buteo augur","Augur Buzzard",NA,54,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3507,"Buteo rufofuscus","Jackal Buzzard",1.99,74,NA,1064,NA,NA,NA,200,"Unsexed"
83,3513,"Aquila pomarina","Lesser Spotted Eagle",2,88,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3514,"Aquila clanga","Greater Spotted Eagle",2,110,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3515,"Aquila rapax","Tawny Eagle",2,118,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3516,"Aquila nipalensis","Steppe Eagle",NA,117,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3518,"Aquila heliaca","Imperial Eagle",2.5,132,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3520,"Aquila chrysaetos","Golden Eagle",2,142,2,NA,NA,NA,NA,NA,"Unsexed"
83,3521,"Aquila audax","Wedge-tailed Eagle",2,143,2,NA,NA,NA,NA,NA,"Unsexed"
83,3522,"Aquila verreauxii","Verreaux's Eagle",2,158,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3523,"Aquila wahlbergi","Wahlberg's Eagle",1,73,NA,1147,NA,NA,NA,NA,"Unsexed"
83,3524,"Hieraaetus fasciatus","Bonelli's Eagle",2,112,2,NA,NA,NA,NA,NA,"Unsexed"
83,3526,"Hieraaetus pennatus","Booted Eagle",2,62,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3527,"Hieraaetus morphnoides","Little Eagle",1.65,62,2,NA,NA,NA,NA,NA,"Unsexed"
83,3530,"Polemaetus bellicosus","Martial Eagle",1,182,NA,3965,NA,NA,NA,NA,"Unsexed"
83,3532,"Lophaetus occipitalis","Long-crested Eagle",1.56,75,NA,NA,NA,NA,NA,NA,"Unsexed"
83,3543,"Stephanoaetus coronatus","Crowned Hawk-Eagle",1.62,112,NA,NA,NA,NA,NA,NA,"Unsexed"
84,3545,"Sagittarius serpentarius","Secretarybird",1.96,130,NA,4052,NA,NA,NA,NA,"Unsexed"
85,3553,"Polyborus plancus","Crested Caracara",NA,76,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3554,"Milvago chimachima","Yellow-headed Caracara",NA,28,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3556,"Herpetotheres cachinnans","Laughing Falcon",NA,65,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3571,"Falco berigora","Brown Falcon",2.79,45,2,NA,NA,NA,NA,NA,"Unsexed"
85,3580,"Falco rupicoloides","Greater Kestrel",3.65,22,NA,NA,NA,NA,NA,162,"Unsexed"
85,3581,"Falco alopex","Fox Kestrel",2.5,22,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3582,"Falco ardosiaceus","Grey Kestrel",4,25,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3583,"Falco dickinsoni","Dickinson's Kestrel",NA,22,NA,210,NA,NA,NA,NA,"Unsexed"
85,3585,"Falco chicquera","Red-necked Falcon",3.6,24,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3588,"Falco eleonorae","Eleonora's Falcon",2.5,26,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3591,"Falco columbarius","Merlin",4,22,2,NA,NA,NA,NA,NA,"Unsexed"
85,3593,"Falco subbuteo","Eurasian Hobby",3,24,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3596,"Falco longipennis","Australian Hobby",2.8,28,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3597,"Falco novaeseelandiae","New Zealand Falcon",2.77,36.5,2,NA,NA,NA,NA,NA,"Unsexed"
85,3599,"Falco subniger","Black Falcon",3.3,45,2,NA,NA,NA,NA,NA,"Unsexed"
85,3602,"Falco cherrug","Saker Falcon",4,53,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3603,"Falco rusticolus","Gyrfalcon",3.5,70,NA,NA,NA,NA,NA,NA,"Unsexed"
85,3604,"Falco mexicanus","Prairie Falcon",4.56,49,2,NA,NA,NA,NA,NA,"Unsexed"
85,3605,"Falco peregrinus","Peregrine Falcon",3.5,48,2,NA,NA,NA,NA,NA,"Unsexed"
86,3621,"Podiceps grisegena","Red-necked Grebe",4.5,30.5,NA,NA,NA,NA,NA,NA,"Unsexed"
86,3622,"Podiceps cristatus","Great Crested Grebe",3.77,39.5,NA,NA,NA,NA,NA,NA,"Unsexed"
86,3623,"Podiceps auritus","Horned Grebe",3.75,22.5,NA,449.5,NA,NA,NA,NA,"Unsexed"
86,3629,"Aechmophorus occidentalis","Western Grebe",2.41,43.5,NA,NA,NA,NA,NA,NA,"Unsexed"
87,3632,"Phaethon rubricauda","Red-tailed Tropicbird",1,87,2,NA,NA,NA,NA,NA,"Unsexed"
87,3633,"Phaethon lepturus","White-tailed Tropicbird",1,45,2,367.3,NA,NA,51.2,NA,"Unsexed"
88,3634,"Papasula abbotti","Abbott's Booby",NA,112.17,2,NA,NA,NA,NA,NA,"Unsexed"
88,3635,"Morus bassanus","Northern Gannet",1,106,NA,NA,NA,NA,NA,NA,"Unsexed"
88,3636,"Morus capensis","Cape Gannet",NA,105,NA,NA,NA,NA,NA,NA,"Unsexed"
88,3638,"Sula nebouxii","Blue-footed Booby",NA,61,NA,NA,NA,NA,NA,NA,"Unsexed"
88,3640,"Sula dactylatra","Masked Booby",1.6,77,2,NA,NA,NA,NA,NA,"Unsexed"
88,3641,"Sula sula","Red-footed Booby",1,53,2,NA,NA,NA,NA,NA,"Unsexed"
88,3642,"Sula leucogaster","Brown Booby",1.5,53,2,NA,NA,NA,NA,NA,"Unsexed"
89,3643,"Anhinga anhinga","Anhinga",3.64,35,NA,1337.5,NA,NA,NA,NA,"Unsexed"
89,3645,"Anhinga melanogaster","Oriental Darter",4,36,2,1759,NA,NA,NA,NA,"Unsexed"
90,3647,"Phalacrocorax africanus","Long-tailed Cormorant",4,23,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3651,"Phalacrocorax melanoleucos","Little Pied Cormorant",4,26,2,659,NA,NA,NA,NA,"Unsexed"
90,3653,"Phalacrocorax penicillatus","Brandt's Cormorant",2.88,51,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3655,"Phalacrocorax neglectus","Bank Cormorant",1.84,47,NA,NA,NA,NA,NA,122,"Unsexed"
90,3657,"Phalacrocorax brasilianus","Neotropic Cormorant",3.15,42,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3658,"Phalacrocorax auritus","Double-crested Cormorant",3.11,48,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3660,"Phalacrocorax varius","Pied Cormorant",3.32,45,2,NA,NA,NA,NA,NA,"Unsexed"
90,3661,"Phalacrocorax sulcirostris","Little Black Cormorant",4,36,2,1100,NA,NA,NA,NA,"Unsexed"
90,3662,"Phalacrocorax carbo","Great Cormorant",3.5,58,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3663,"Phalacrocorax capillatus","Japanese Cormorant",NA,54,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3665,"Phalacrocorax capensis","Cape Cormorant",2.39,45,2,1260,NA,NA,NA,95,"Unsexed"
90,3668,"Phalacrocorax atriceps","Imperial Shag",NA,50,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3669,"Phalacrocorax melanogenis","Crozet Shag",2.56,53,2,NA,NA,NA,NA,NA,"Unsexed"
90,3669,"Phalacrocorax bransfieldensis","Antarctic Shag",2.5,59.1,2,NA,NA,NA,NA,NA,"Unsexed"
90,3670,"Phalacrocorax georgianus","South Georgia Shag",NA,54.6,2,NA,NA,NA,NA,NA,"Unsexed"
90,3677,"Phalacrocorax magellanicus","Rock Shag",NA,46,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3678,"Phalacrocorax urile","Red-faced Cormorant",2.8,48,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3679,"Phalacrocorax pelagicus","Pelagic Cormorant",3.47,44,NA,NA,NA,NA,NA,NA,"Unsexed"
90,3680,"Phalacrocorax aristotelis","European Shag",3.07,51,2,1940,NA,NA,NA,NA,"Unsexed"
90,3682,"Phalacrocorax punctatus","Spotted Shag",2.7,42,NA,NA,NA,NA,NA,NA,"Unsexed"
91,3685,"Egretta rufescens","Reddish Egret",2.9,38,NA,613.5,NA,NA,NA,NA,"Unsexed"
91,3687,"Egretta ardesiaca","Black Heron",2.56,28,NA,NA,NA,NA,NA,96,"Unsexed"
91,3689,"Egretta novaehollandiae","White-faced Heron",NA,32,NA,NA,NA,NA,NA,NA,"Unsexed"
91,3690,"Egretta caerulea","Little Blue Heron",4.04,25,2,364,NA,NA,NA,NA,"Unsexed"
91,3691,"Egretta garzetta","Little Egret",4.8,28,NA,NA,NA,NA,NA,NA,"Unsexed"
91,3694,"Egretta thula","Snowy Egret",3.64,24,2,369,NA,NA,NA,NA,"Unsexed"
91,3696,"Egretta sacra","Pacific Reef-Egret",NA,28,2,388.7,NA,NA,NA,NA,"Unsexed"
91,3698,"Ardea cinerea","Grey Heron",4.11,61,NA,NA,NA,NA,NA,NA,"Unsexed"
91,3699,"Ardea herodias","Great Blue Heron",3.55,74,2,2576,NA,NA,NA,NA,"Unsexed"
91,3701,"Ardea pacifica","Pacific Heron",3.2,42,2,881,NA,NA,NA,NA,"Unsexed"
91,3702,"Ardea melanocephala","Black-headed Heron",2.78,60,NA,NA,401,136,100,157,"Unsexed"
91,3704,"Ardea goliath","Goliath Heron",2.5,109,NA,NA,NA,231,NA,226,"Unsexed"
91,3706,"Ardea sumatrana","Great-billed Heron",NA,83,2,NA,NA,NA,NA,NA,"Unsexed"
91,3707,"Ardea purpurea","Purple Heron",4.7,51,NA,NA,NA,NA,NA,NA,"Unsexed"
91,3709,"Casmerodius albus","Great Egret",NA,61,2,1100,NA,NA,NA,NA,"Unsexed"
91,3710,"Mesophoyx intermedia","Intermediate Egret",NA,31,NA,NA,311,107,71,NA,"Unsexed"
91,3711,"Bubulcus ibis","Cattle Egret",4.5,28,2,NA,NA,NA,NA,NA,"Unsexed"
91,3722,"Nyctanassa violacea","Yellow-crowned Night-Heron",3.52,38,NA,NA,NA,NA,NA,NA,"Unsexed"
91,3723,"Nycticorax nycticorax","Black-crowned Night-Heron",4,34,2,NA,291,75,70.8,108,"Unsexed"
91,3724,"Nycticorax caledonicus","Rufous Night-Heron",3.5,38,2,NA,NA,NA,NA,NA,"Unsexed"
91,3725,"Gorsachius leuconotus","White-backed Night-Heron",2.62,28,NA,NA,267,72,60,112,"Unsexed"
91,3744,"Dupetor flavicollis","Black Bittern",NA,29,NA,372.6,NA,NA,NA,NA,"Unsexed"
91,3745,"Botaurus lentiginosus","American Bittern",3.75,36,NA,NA,NA,NA,NA,NA,"Unsexed"
91,3747,"Botaurus stellaris","Great Bittern",5,42,NA,NA,NA,NA,NA,NA,"Unsexed"
91,3748,"Botaurus poiciloptilus","Australasian Bittern",4.5,39,NA,NA,NA,NA,NA,NA,"Unsexed"
92,3749,"Scopus umbretta","Hamerkop",4.4,28.5,NA,422.5,305,70,NA,156,"Unsexed"
93,3750,"Phoenicopterus ruber","Greater Flamingo",1,142,NA,NA,NA,NA,NA,NA,"Unsexed"
93,3752,"Phoenicopterus minor","Lesser Flamingo",NA,117,NA,NA,NA,NA,NA,NA,"Unsexed"
94,3758,"Plegadis falcinellus","Glossy Ibis",4,38,NA,NA,NA,NA,NA,NA,"Unsexed"
94,3767,"Bostrychia hagedash","Hadada Ibis",2.71,62,NA,1262,353,68,134,154,"Unsexed"
94,3771,"Geronticus eremita","Waldrapp",3,68,NA,NA,NA,NA,NA,208,"Unsexed"
94,3772,"Geronticus calvus","Bald Ibis",1.99,68,NA,NA,386,70,146,191,"Unsexed"
94,3774,"Threskiornis aethiopicus","Sacred Ibis",2.24,62,NA,NA,NA,NA,NA,NA,"Unsexed"
94,3776,"Threskiornis molucca","Australian Ibis",2.73,69,5,NA,NA,NA,NA,NA,"Unsexed"
94,3777,"Threskiornis spinicollis","Straw-necked Ibis",3.5,69,2,NA,NA,NA,NA,NA,"Unsexed"
94,3782,"Platalea leucorodia","Eurasian Spoonbill",3.5,76,NA,NA,NA,NA,NA,NA,"Unsexed"
94,3783,"Platalea regia","Royal Spoonbill",3.14,69,2,NA,NA,NA,NA,NA,"Unsexed"
94,3786,"Platalea flavipes","Yellow-billed Spoonbill",3.05,81,2,NA,NA,NA,NA,NA,"Unsexed"
94,3787,"Ajaia ajaja","Roseate Spoonbill",NA,68,NA,1490,NA,NA,NA,NA,"Unsexed"
95,3789,"Pelecanus onocrotalus","Great White Pelican",2,180,NA,NA,NA,NA,NA,NA,"Unsexed"
95,3790,"Pelecanus rufescens","Pink-backed Pelican",NA,116,NA,NA,NA,NA,NA,NA,"Unsexed"
95,3794,"Pelecanus erythrorhynchos","American White Pelican",2,150,NA,NA,NA,NA,NA,NA,"Unsexed"
95,3795,"Pelecanus occidentalis","Brown Pelican",2.95,91,NA,NA,NA,NA,NA,NA,"Unsexed"
96,3797,"Coragyps atratus","Black Vulture",2,103,NA,NA,NA,NA,NA,NA,"Unsexed"
96,3798,"Cathartes aura","Turkey Vulture",1.94,80,NA,NA,NA,NA,NA,NA,"Unsexed"
96,3801,"Gymnogyps californianus","California Condor",NA,280,NA,NA,880,116.5,NA,NA,"Unsexed"
96,3804,"Mycteria americana","Wood Stork",3.04,80,NA,NA,NA,NA,NA,NA,"Unsexed"
96,3815,"Ciconia ciconia","White Stork",4,110,NA,NA,NA,220,176,227,"Unsexed"
97,3823,"Fregata magnificens","Magnificent Frigatebird",1,88,2,1709,NA,NA,NA,NA,"Unsexed"
97,3825,"Fregata minor","Great Frigatebird",1,74,2,NA,NA,NA,NA,NA,"Unsexed"
97,3826,"Fregata ariel","Lesser Frigatebird",1,66,2,NA,NA,NA,NA,NA,"Unsexed"
97,3827,"Fregata andrewsi","Christmas Island Frigatebird",1,80,2,NA,NA,NA,NA,NA,"Unsexed"
98,3828,"Aptenodytes patagonicus","King Penguin",1,306,2,NA,NA,NA,NA,NA,"Unsexed"
98,3829,"Aptenodytes forsteri","Emperor Penguin",1,425,2,NA,NA,NA,NA,NA,"Unsexed"
98,3830,"Pygoscelis papua","Gentoo Penguin",2,136,2,6200,222,NA,NA,143,"Unsexed"
98,3831,"Pygoscelis adeliae","Adelie Penguin",2,124,2,5000,189.3,NA,NA,NA,"Unsexed"
98,3832,"Pygoscelis antarctica","Chinstrap Penguin",2,110,2,NA,187,NA,NA,NA,"Unsexed"
98,3833,"Eudyptes chrysocome","Rockhopper Penguin",2,95.8,2,NA,NA,NA,NA,81,"Unsexed"
98,3834,"Eudyptes pachyrhynchus","Fiordland Penguin",2,108,2,NA,NA,NA,NA,NA,"Unsexed"
98,3837,"Eudyptes chrysolophus","Macaroni Penguin",2,142,2,NA,NA,NA,NA,93,"Unsexed"
98,3838,"Eudyptes schlegeli","Royal Penguin",2,150,2,NA,NA,NA,NA,NA,"Unsexed"
98,3839,"Megadyptes antipodes","Yellow-eyed Penguin",1.5,133.1,2,NA,NA,NA,NA,NA,"Unsexed"
98,3840,"Eudyptula minor","Little Penguin",2,52,2,1172,NA,NA,NA,NA,"Unsexed"
98,3841,"Spheniscus demersus","Jackass Penguin",2,103,NA,NA,NA,NA,NA,NA,"Unsexed"
98,3843,"Spheniscus magellanicus","Magellanic Penguin",NA,107,NA,NA,NA,NA,NA,NA,"Unsexed"
99,3845,"Gavia stellata","Red-throated Loon",1.79,83,2,NA,NA,NA,NA,NA,"Unsexed"
99,3846,"Gavia arctica","Arctic Loon",2,122,2,NA,NA,NA,NA,NA,"Unsexed"
99,3847,"Gavia pacifica","Pacific Loon",1.9,95,NA,NA,NA,NA,NA,NA,"Unsexed"
99,3848,"Gavia immer","Common Loon",2,167,2,5460,NA,NA,NA,NA,"Unsexed"
99,3849,"Gavia adamsii","Yellow-billed Loon",2,160,2,5627,NA,NA,NA,65.3,"Unsexed"
100,3850,"Macronectes giganteus","Antarctic Giant-Petrel",1,237,2,NA,NA,NA,NA,NA,"Unsexed"
100,3851,"Macronectes halli","Hall's Giant-Petrel",1,256.4,2,NA,NA,NA,NA,NA,"Unsexed"
100,3852,"Fulmarus glacialis","Northern Fulmar",1,98,2,820,NA,NA,NA,NA,"Unsexed"
100,3853,"Fulmarus glacialoides","Southern Fulmar",1,103,2,NA,NA,NA,NA,NA,"Unsexed"
100,3854,"Thalassoica antarctica","Antarctic Petrel",1,95,2,NA,NA,NA,NA,NA,"Unsexed"
100,3855,"Daption capense","Cape Petrel",1,60,2,NA,NA,NA,NA,NA,"Unsexed"
100,3856,"Pagodroma nivea","Snow Petrel",1,47,2,NA,NA,NA,NA,NA,"Unsexed"
100,3857,"Pterodroma brevirostris","Kerguelen Petrel",1,57,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3863,"Pterodroma nigripennis","Black-winged Petrel",1,38,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3865,"Pterodroma inexpectata","Mottled Petrel",1,56,2,NA,NA,NA,NA,NA,"Unsexed"
100,3876,"Pterodroma phaeopygia","Galapagos Petrel",1,56,NA,NA,NA,NA,NA,139.3,"Unsexed"
100,3882,"Pterodroma macroptera","Great-winged Petrel",1,80,2,NA,NA,NA,NA,125,"Unsexed"
100,3894,"Pachyptila desolata","Antarctic Prion",1,30,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3896,"Pachyptila turtur","Fairy Prion",1,25,2,NA,NA,NA,NA,NA,"Unsexed"
100,3900,"Procellaria aequinoctialis","White-chinned Petrel",1,120,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3901,"Procellaria parkinsoni","Black Petrel",1,90,2,NA,NA,NA,NA,NA,"Unsexed"
100,3902,"Procellaria westlandica","Westland Petrel",1,137.6,2,NA,NA,NA,NA,NA,"Unsexed"
100,3904,"Calonectris diomedea","Cory's Shearwater",1,74,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3906,"Puffinus pacificus","Wedge-tailed Shearwater",1,56,2,NA,NA,NA,NA,NA,"Unsexed"
100,3907,"Puffinus bulleri","Buller's Shearwater",1,61,2,NA,NA,NA,NA,NA,"Unsexed"
100,3912,"Puffinus tenuirostris","Short-tailed Shearwater",1,82,2,560,NA,NA,NA,NA,"Unsexed"
100,3914,"Puffinus puffinus","Manx Shearwater",1,57,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3921,"Puffinus assimilis","Little Shearwater",1,32,2,NA,184,NA,26.1,NA,"Unsexed"
100,3929,"Diomedea exulans","Wandering Albatross",1,484,2,NA,NA,NA,NA,NA,"Unsexed"
100,3931,"Diomedea epomophora","Royal Albatross",1,445,2,NA,NA,NA,NA,NA,"Unsexed"
100,3932,"Diomedea irrorata","Waved Albatross",NA,273,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3934,"Diomedea nigripes","Black-footed Albatross",NA,286,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3935,"Diomedea immutabilis","Laysan Albatross",NA,288,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3936,"Diomedea melanophris","Black-browed Albatross",1,258,2,NA,NA,NA,NA,NA,"Unsexed"
100,3937,"Diomedea cauta","Shy Albatross",1,262,NA,NA,NA,NA,NA,NA,"Unsexed"
100,3938,"Diomedea chrysostoma","Grey-headed Albatross",1,266,2,NA,NA,NA,NA,NA,"Unsexed"
100,3940,"Diomedea bulleri","Buller's Albatross",1,231,2,NA,NA,NA,NA,NA,"Unsexed"
100,3941,"Phoebetria fusca","Sooty Albatross",1,231,2,NA,NA,NA,NA,NA,"Unsexed"
112,5131,"Menura novaehollandiae","Superb Lyrebird",1,61.5,5,NA,NA,NA,NA,NA,"Unsexed"
123,5738,"Corvus capensis","Cape Crow",3.5,22.3,NA,NA,NA,NA,NA,NA,"Unsexed"
123,5754,"Corvus coronoides","Australian Raven",NA,22,2,630,NA,NA,NA,NA,"Unsexed"
123,5762,"Corvus ruficollis","Brown-necked Raven",4,23.6,NA,NA,NA,NA,NA,NA,"Unsexed"
123,5763,"Corvus corax","Common Raven",4.1,28.8,2,NA,NA,NA,NA,NA,"Unsexed"
123,5765,"Corvus albicollis","White-necked Raven",3.8,30.1,NA,NA,NA,NA,NA,NA,"Unsexed"
123,5766,"Corvus crassirostris","Thick-billed Raven",4,30.1,NA,NA,NA,NA,NA,NA,"Unsexed"
